job_title,location,salary,company,job_desc 
Business Analyst,Canberra ACT,$100 an hour,Ignite,"Essential skills and experience
,
,
Job Location
,
Canberra, ACT, Australia"
Business Analyst,Brisbane QLD,None,Queensland Government,"As the Business Analyst the successful candidate will contribute to improvement outcomes using business intelligence software.
,
,
,
The ideal candidate will have the following skills and capabilities:
,
,
In return for being a star communicator with Finance experience, the successful applicant will work in a dynamic environment with great people.
,
,
,
Applications remain current for 12 months from the closing date and may be considered for appointment to identical or similar vacancies within the Department.
,Applications from recruitment agencies will not be accepted.This work is licensed under a Creative Commons Attribution 3.0 Australia License."
Technical Business Analyst,Australia,None,G8 Education,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><div>G8 Education is an ASX 200 organisation and leading provider of quality early education and care services. Owning over 500 Centres across Australia and Singapore and with over 11,000 team members, we are continually expanding and looking to grow and strengthen our network.</div><br>
<div></div>
<div><b>
About the role:</b></div><br>
<div></div>
<div>
Working closely with our IT Solutions team, you will be responsible for managing current processes and understanding where efficiencies can be made.</div><br>
<div></div>
<div>
We are looking for someone who can successfully coordinate &amp; run deep dive sessions, requirements gathering, documenting findings in process maps and user stories. Own product backlog and assist in managing change into the business.</div><br>
<div></div>
<div><b>
Key responsibilities include:</b></div>
<ul>
<li>Lead engagement activities with various stakeholder groups to determine business requirements.</li>
<li>Analyse and critically evaluate information from multiple sources and drive solution approaches in the light of competing stakeholder views and needs.</li>
<li>Data mapping and modelling of API interfaces and databases</li>
<li>Collaborate with technical specialists, the solution manager, integration &amp; data teams and relevant subject matter experts to map, document and establish business processes and solutions to various standards.</li>
<li>Document requirements, process maps, presentations, relevant to the project.</li>
<li>Prepare gap and impact analyses of the implementation of a solution on relevant business areas.</li>
<li>As part of an agile project team, work closely with business stakeholders to work through existing business processes and where improvements can be made</li>
<li>Embrace an agile mindset and approach to business analysis</li><br>
</ul>
<div><b>
</b></div><div><b>Ideally you will have:</b></div>
<ul>
<li>Experience in agile project delivery</li>
<li>Demonstrated experience in the implementation and integration of enterprise systems in a large organisation.</li>
<li>Experience using analysis and modelling techniques such as BPMNn UML and related supporting tools</li>
<li>Demonstrated ability to contribute to an IT Project including problem identification, conflict and resolution.</li>
<li>Demonstrated ability to elicit business requirements by engaging, consulting and liaising with multiple stakeholders.</li>
<li>Experience with Dell Boomi or other integration platforms an advantage</li><br>
</ul>
<div>
</div><div><b>Desirable Qualifications:</b></div>
<ul>
<li>Qualifications in Business, IT or Project Management
</li><li>Knowledge of CRM systems and their usage within a business</li>
<li>Demonstrated understanding of agile methodology and best practices</li><br>
</ul>
<div><b>
</b></div><div><b>Why choose us?</b></div>
<ul>
<li>Attractive salary package including performance incentive scheme</li>
<li>Generous discount on childcare fees</li>
<li>Exclusive access to our employee benefits program covering a wide range of discounts and promotions</li>
<li>Dedicated focus on professional growth and development</li><br>
</ul>
<div>
</div><div>This is a rare opportunity; if you want a diverse, challenging and personally fulfilling role, apply now!</div><br>
<div></div>
<div>
G8 Education is a committed advocate for child protection, safety and wellbeing. As an organisation, we have a zero tolerance to any form of child abuse or harm. The safety and well-being of children will always be our priority and we have an expectation that all of our team members embrace this shared commitment.</div><br>
<div></div>
<div><i>
Please note the advertising closing date is indicative only. G8 Education reserves the right to close the advertisement before this date is reached. Therefore, it is encouraged that you submit your application as soon as possible.</i></div><br>
<div></div>
Closing Date: 30/05/2019<br>
Category: Technical and Applications Support<br>
Job Status: Permanent Full time</div></div>"
Business Analyst,McKinnon VIC,None,Marshall McAdam,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><p><b>You:</b></p><p>
Engaging, confident and passionate about Agile Business Analysis and bridging the gap between technology and the business! You have an analytical mindset and experience working with technical teams to deliver customer facing web solutions.</p><p><b>
The role:</b></p><p>
Working within an agile squad to deliver a new web initiative for the organisation, working closely with the technical teams and the business stakeholders to cement the user stories, user journeys and deliver new exciting customer facing technical solutions.</p><p><b>
The Organisation:</b></p><p>
A well-known household name in the retail space this company are innovating and expanding their organisation.</p><p><b>
Skills and experience needed:</b></p><ul><li>
Experience working as an Agile BA on customer facing websites (ideally retail)</li><li>
Exposure to SCRUM and Kanban</li><li>
Exposure to JIRA</li><li>
Strong written and verbal communication skills; strong ability to articulate complex situations and information clearly</li><li>
Experience of working within Agile and waterfall projects</li><li>
Attention to detail; thorough</li><li>
Disciplined and rigorous in following through on actions</li><li>
Able to work collaboratively and effectively at all levels in an organisation.</li><li>
Solid Business Analyst capabilities, experienced at being the link between IT and business stakeholders</li></ul><p>
If you are interested please click the Apply button or call Richard Green on 03 8399 9312 for a conversation about the role.</p></div></div>"
"Analyst, Business Automation and Integration",Melbourne VIC,None,ANZ Banking Group,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><p></p><div><div><div><b>Analyst, Business Automation and Integration Domain</b></div>
<div></div><div><b>Our purpose?</b></div>
<div></div><div>The <b>Business Automation and Integration Domain’s</b> vision is to work with our customers, partners and within ANZ to create commercially viable, open and innovative services that meet evolving needs and contribute to our growth ambitions. We will radically simplify the customer and banker experience through the automation and simplification of key banking processes.</div><br>
<div></div>
<div>The Document and Knowledge Management Tech area’s mission is to provide the technology platform, services and support that optimises our document and knowledge management platforms, systems and processes to enable digitisation of documents to radically simplify the customer experience. We aim to provide an enterprise and digitised document service to deliver simplified, consolidated systems faster to market for our Customers and Bankers. We drive outcomes that are compliant, stable, repeatable and self-serving.</div><br>
<div></div>
<div>The journey we are embarking on is focused on Digitising Documents and to provide Document as a Service for the enterprise which covers Document Capture, Document Generation, Document Collaboration and Document Management with Enterprise Search capabilities.</div><br>
<div></div>
<div>As an <b>Analyst</b> in Business Automation and Integration Domain,you’ll be working as part of a high performing cross-functional team that focuses on Document and Knowledge Management. You will work to deeply understand the business environment to refine requirements to increase the quality and efficiency of the customer outcome being delivered by the Squad and ensure the stability of systems.</div><br>
<div></div>
<div>For more information about what a day in the life of a Analyst looks like, check out our Analyst Persona or watch this Animation to get an insight in to what a day in their life looks like.</div><br>
<div></div>
<div><b>Who are you?</b></div>
<ul><li><b>A team player </b>– You know we only win if we all win. You recognise and value the different perspectives and skills your colleagues bring. It is not about being a hero but jumping in and contributing to the successful delivery of the team’s mission</li><li><b>
The customer’s biggest fan</b> – You demonstrate a thirst for better understanding the customer and define the problem and develop solutions through their eyes</li><li><b>
Comfortable being uncomfortable</b> – You are comfortable with uncertainty and have the ability to effectively manage yourself through ambiguity and change</li><li><b>
Continuous improvement junkie</b> – You constructively challenge the status quo, look for better ways to do things and passionately advocate continuous improvement</li><li><b>
Committed to your own and other’s growth</b> – You strive to stretch and grow yourself and others by identifying your own development areas, seeking feedback and providing feedback to others to help them learn and grow everyday</li><li><b>
A problem solver </b>– You are energised by tackling complex problems and use critical thinking, your network, skills, knowledge, and available data to drive better outcomes for our customers and the bank</li><li><b>
Risk savvy</b> – You build sustainable solutions that protect customers, stakeholders and the community</li></ul>
<div><b>What you bring to Document and Knowledge Management team as an Analyst?</b></div>
<ul><li>Experience in one or more Analyst roles previously, EG: Process Analyst, System Analyst, Business Analyst, Data Analyst, Operations Analyst</li><li>
Deep domain and system knowledge to turn customer needs into business requirements and workable technology outcomes</li><li>
Experience in translating requirements into user stories and acceptance criteria</li><li>
Demonstrable experience and understanding of agile development practices, JIRA and Confluence, and Git/Bitbucket or similar distributed source-control systems</li><li>
Knowledge of xPression, Filenet, Datacap and Adobe Lifecycle is desirable</li><li>
Experience with continuous integration/delivery, Cloud and Automation. Tooling such as Git/GitHub, Bamboo/Jenkins, splunk, uDeploy, containerisation etc</li><li>
Strong communication and presentation skills</li><li>
A desire to continuously learn new techniques / technologies and bring innovative ideas into the Squad</li><li>
Deliver initiative milestones and “own” the impacts to ensure all changes impact customers and frontline staff in a positive way</li><li>
Has a broad understanding of how to apply New Ways of Working to their role</li></ul>
<div><b>What might a 'day in the life' look like</b></div>
<ul><li>Partnering with the Product Owner, Engineers and other people in your Squad to uncover dependencies and validate boundaries and sequencing of User Stories as well as ensure alignment to value.</li><li>
Collaborates with Product Owners and Engineers to translate business requirements into workable technology outcomes for the Squad</li><li>
Leverage tools for optimal collaboration (across geographies) and knowledge sharing</li><li>
Implements a culture within the Tribe and the Chapter, encouraging best practices around reviews, quality and documentation</li><li>
Building mastery in both the depth and breadth of their capability Design.</li><li>
Creates estimates and continuously reviews demand within the individual Squads</li><li>
Identify opportunities for continuous improvement and implement solutions to perform more effective and efficient analysis</li><li>
Provide ongoing support for the platform as required e.g. problem / incident management</li><li>
Optimize workflow management to ensure traceability back to strategic alignment</li><li>
Verify and validate what is in production (especially after changes)</li></ul>
<div><b>“We work flexibly at ANZ. Talk to us and let us know how this role can be flexible for you.""</b></div><div></div><br>
<div>
To find out more about working at ANZ or to view other opportunities visit www.anz.com/careers. You may apply for this role by visiting <b>ANZ Careers </b>and search for reference number <b>AUS099344</b></div></div></div><div></div></div>"
Data and Business Analyst,Sydney NSW,None,EML,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div></div><div><div><b>Job no:</b> 500779<br>
<b>Work type:</b> Full Time<br>
<b>Location:</b> Sydney<br>
<b>Categories:</b> Workers Compensation, RTWSS<br>
</div><div><p>Do you have a passion to make a difference and help people get their lives back after injury or illness?</p>
<ul>
<li>Do you have an experience in the <b>workers compensation industry</b> and strong <b>analytical and reporting skills</b>?</li>
<li>Provide support and detailed analysis of claims portfolio and guidewire system</li>
<li>We help people get their lives back on track after a workplace injury</li>
</ul><p>EML is a leading Workers Compensation Insurance company.<i> </i><b>We now have over 2000 employees and are still growing</b><i> </i>which means an amazing and diverse culture with a very high internal promotion rate.</p>
<p><b>
THE OPPORTUNITY</b></p>
<p>
As part of our diverse team <b>based in Sydney CBD </b>, you’ll help make a positive impact on someone’s life every day. You’ll feel great satisfaction knowing your talent and hard work has a purpose.</p>
<p>
You will assist to identify and assess risks by working collaboratively with Senior Managers, and key stakeholders to manage key risks and identify corrective and preventative actions that minimise financial, reputational and operational risks to EML.</p>
<p>
The role requires a collaborative and consultative approach, working with iCare and business leaders to identify critical issues.</p>
<p><b>
YOUR RESPONSIBILITIES</b></p>
<ul>
<li>Providing incisive analysis and making recommendations to enhance and improve current claims management processes, and performance.</li>
<li>Modelling performance and financial outcomes.</li>
<li>Provide assistance to understand claims management practices and emerging experience trends</li>
<li>Make recommendations to enhance and improve current processes for data collation and extraction, monitoring and reporting.</li>
<li>Deliver detailed analysis of portfolio trends, utilizing information to make strategic decisions</li>
</ul><p><b>ABOUT YOU</b></p>
<ul>
<li>Sound knowledge and experience of <b>Workers Compensation Insurance</b></li>
<li>Demonstrated experience in <b>QlikSense / QlikView and SAS</b> highly desirable</li>
<li>Data interpretation and visualisation experience.</li>
<li>Demonstrated ability to work independently as well as in a team</li>
<li>Excellent communication and problem solving skills are a must.</li>
<li>Must have strong <b>analytical/reporting skills</b></li>
<li>Tertiary qualifications in a related discipline is highly desirable</li>
</ul><p><b>WHAT WE OFFER</b></p>
<p><b>
We stand together as equals.</b> EML is an equal opportunity employer so by coming to work for us, you’ll be part of a culture that celebrates diversity and inclusion. We’re committed to maintaining a workplace where everyone feels valued and where we show respect, integrity and honesty.</p>
<p><b><i>
EML provides career opportunities and great employee benefits, including:</i></b></p>
<ul>
<li>Onsite Learning and Development Team</li>
<li>End of Month Celebration Events</li>
<li>17.5% Annual Leave Loading</li>
<li>Free Fruit Boxes</li>
<li>Free Onsite Pilates,Yoga and Fitness Classes</li>
</ul><p>We value our people and are committed to supporting our employees by investing in their professional development and providing generous employee benefits. If this is of interest to you, please or for more information/confidential conversation please contact Mary Norouzifar on 0280713623<b>.</b></p>
</div>
<p><b>Advertised:</b> 10 May 2019 AUS Eastern Standard Time<br>
<b>Applications close:</b> 31 May 2019 AUS Eastern Standard Time</p></div><p></p></div>"
Business Process Analyst,Melbourne VIC,None,Origin Energy,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><ul><li>Partner with the business to drive process improvement</li>
<li>Collaborate on projects across the business</li>
<li>Drive frontline centre of excellence</li>
</ul><p><b>ORIGIN – GOOD ENERGY</b><br>
<br>
Origin has a rich heritage in energy exploration, production, power generation and retailing. Today, we're a leading provider of energy to homes and businesses throughout Australia.</p>
<p>
THE ROLE</p>
<p>Reporting to the Senior Business Solutions Analyst, the Business Process Analyst is responsible for providing support to the Credit Collections Operational Leads and team. Ensuring it is effective in end to end management of all portfolio management of Origin customers to resolve disputes affecting cash collections to increase speed to cash and proactively manage all debtors within the portfolio to pay accounts in line with the agreed and contracted payment terms.</p>
<p>The primary purpose of the Business Process Analyst is to drive innovation and ensure the function is well represented on key projects outside of the team (within C&amp;C, and outside of C&amp;C), to ensure change and process changes are managed without any degradation in performance.</p>
<p>IS THIS YOU?</p>
<p>The ideal candidate will have the following skills and experience:</p>
<ul><li>Ensuring Credit &amp; Collections Teams effectiveness through providing targeted insights to close identified capability gaps across the agent population</li>
<li>Drive incidents to satisfactory resolution</li>
<li>Ensure gaps in system and operational process are identified, fixed and / or appropriately documented for further follow up</li>
<li>Liaise with different stakeholders (internal &amp; external) to gain exceptional process outcomes for our customers &amp; the business</li>
<li>Drive frontline centre of excellence for frontline Process and SOP’s</li>
<li>Identify, Investigate and drive key process blockages or exception\performance issues and undertake remediation activities</li>
<li>Key conduit with C&amp;C Initiatives and Process Development Team Provide support in change management, and testing of process changes</li>
<li>Stakeholder Management with key Retail interdependent departments i.e Billing, OBC, KM, Service, Sale</li>
</ul> <p>This is a fantastic opportunity for someone partner with the business to drive process improvement change</p>
<p>
Our purpose drives everything. If you connect with <i>Getting energy right for our customers, community and planet</i> this role is for you.</p><br>
<p></p>
<p>For more information contact: Iain Pratt (03) 8665 7325</p>
<p>Requisition ID: 71798</p><br>
<p></p>
<p>Origin recognises Aboriginal and Torres Strait Islander Peoples as the Traditional Custodians of country throughout Australia, and we pay our respects to Elders past, present and future.</p><br>
<p></p>
<p> https://www.originenergy.com.au/about/careers.</p></div></div>"
IT Business Analyst,Melbourne VIC,None,Daimler,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><div><div>IT Business Analyst</div></div><div>
Description<div>
</div><div>
At Mercedes-Benz Financial Services Australia we pride ourselves on our reputation for service excellence and our care in providing flexible, innovative and tailor-made finance and insurance solutions.</div><div><br>
</div><div>
An exciting opportunity exists for a fixed term period within the Financial Services Information Technology team for an IT Business Analyst. The objective of this position is for the end to end delivery of enhancements into IT systems through the ITF Delivery model, specifically for the Mercedes-Benz Financial Services.</div><div><br>
</div><div>
Specific responsibilities will also include:</div><div><br>
</div><ul><li>Accountable for maintaining a suite of requirements across the enhancements including:</li><li>Business Requirements (from BRDs)</li><li>System Requirements (in HLDs and SRSs)</li><li>Vendor Requirements (in FSs and Technical Requirements)</li><li>Responsible for requirements traceability</li><li>Responsible for gathering, analysing and documenting requirements</li><li>Responsible for planning and executing workshops with the business and vendors</li><li>Accountable for ensuring the package of enhancements under management follow all the required Daimler ITM standards and processes</li></ul><div></div><br>
<div>
</div></div><div>
Qualifications<div>
</div><div>
The person we seek will be a strong negotiator, confident and motivated professional with developed interpersonal skills and a drive to succeed. This person will have solid leadership skills that will assist in managing local and virtual project teams.</div><div><br>
<br>
Specific Business Analysis experience in the Financial Services or consulting industry is preferred. Strong requirements gathering experience is essential for this role.</div><div></div><br>
<div>
The successful candidate will have:</div><div><br>
<ul><li>specific knowledge of Business Analysis methodologies and of Financial Services systems;</li><li>the ability to get in the detail and understand/ challenge enhancement requirements and system functionality; and</li><li>experience in managing cross-functional business stakeholders.</li></ul></div><div></div><br>
<div>
If you believe you are the right person for this exciting role, application close 5pm Wednesday 22nd May 2019.</div><div></div><br>
<div>
Mercedes-Benz Financial Services proudly offers generous employee benefits, such as Employee Recognition and Rewards Programs, access to Learning &amp; Development opportunities, on-site parking, discounted health insurance and much more.<br>
</div><div>
</div></div><div>
Organization : Mercedes-Benz Financial Services Australia Pty. Ltd.<div>
</div>
Primary Location : Australia-Victoria-Mulgrave/Melbourne<div>
</div>
Work Locations : 41 Lexia Place 41 Lexia Place Mulgrave/Melbourne 3170</div></div></div>"
Business Analyst / Data Analyst,Melbourne VIC,$600 - $650 a day,Ignite,"The Role & Opportunity
,You will be working as a business analyst/data analyst within the ICT division of our major client and will be responsible to support the Data Completions processes associated with data entry into our PNI system Spatialnet.
,
,
,
Ideal candidate would have familiarity with PNI environments and are able to work through changes associated with systems and processes whilst working with multiple stakeholders.
,
Data Completions is responsible for entry of physical, logical and address data into the clients Spatial Net PNI system.
,
What's in it for you?
,
,
Interested? If you have the skills and motivation we are looking for, please Apply Now. For more information, please contact Sukanya Mukhopadhyay on 03 8319 7810 or via email Sukanya Mukhopadhyay @ igniteservices.com."
State Business Analyst - Melbourne,Melbourne VIC,None,British American Tobacco,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><p>Would you like to work in a dynamic and challenging environment where you will be supported to reach your potential? There are opportunities available for the role of State Business Analyst in Melbourne.
</p><p>About the Role:</p><p></p><br>
<p>
Working within the National Field environment, you will ensure that the accurate analysis of market performance is communicated to State Management. This analysis of statistical data and market information will support the monitoring, planning and development processes of the business in order to achieve sales &amp; marketing objectives.<br>
<br>
You will provide the State Management team with regular updates on progress against company targets and ensure all relevant data bases are maintained with the latest information. You will be a motivated, self-starter who strives to offer solutions and input on process improvements to maximise efficiency within the team, field force and across departments. There will also be an element of administrative support required in the day to day activities of the State Office that you will to support with.<br>
</p><p><b>
About You:</b></p><p>
You should ideally possess the following attributes:</p><ul><li>
Advanced working knowledge of Microsoft Excel including defining &amp; creating formula, macros and pivot tables as well as PowerPoint.</li><li>
Strong analytical ability to proactively identify trends, issues and opportunities and translate these into insightful commercial stories and recommendations</li><li>
Ability to effectively plan, organise and prioritise</li><li>
Strong verbal and written communication skills in addition to presentation skills</li><li>
Resilience and initiative, with a ‘can do attitude</li></ul><p></p><br>
<p><b>
The Perks:</b></p><p>
If you are successful, you will receive the following:</p><ul><li>
Competitive remuneration package including bonus</li><li>
Above statutory superannuation</li><li>
Company laptop and smart phone</li><li>
Opportunities for regular Learning and Development training</li></ul><p>
British American Tobacco is all about freedom of choice — whether it’s our people or our products. Combined with our entrepreneurial spirit, it’s what’s driven our phenomenal success. We started trading tobacco over a hundred years ago. Today, we’re a multibillion dollar company with more than 200 brands in our portfolio. With robust positions in each of our regional markets, our future looks equally bright too.</p><p>
There’s no doubt our industry is controversial — we’re the first to admit that. But rest assured, we take a responsible approach to our trade. In our market, we observe every law and regulation regarding tobacco (in many cases going further through our own voluntary code). Not only that, we treat our Global farmers fairly, invest in the environment and help to sustain local communities.<br>
<br>
We also excel at developing our own people into leaders of the future. As a firm with a high-performance culture, we’ll expect a lot from you. But we’ll support you every step of the way to help you deliver. If you’re passionate and ambitious, rapid career progression is a reality here. And because we’re such a large firm (we employ more than 55,000 people worldwide), there are plenty of exciting opportunities for you to develop a truly extraordinary career.</p></div></div>"
State Business Analyst - Melbourne,Melbourne VIC,None,British American Tobacco,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><p>Would you like to work in a dynamic and challenging environment where you will be supported to reach your potential? There are opportunities available for the role of State Business Analyst in Melbourne.
</p><p>About the Role:</p><p></p><br>
<p>
Working within the National Field environment, you will ensure that the accurate analysis of market performance is communicated to State Management. This analysis of statistical data and market information will support the monitoring, planning and development processes of the business in order to achieve sales &amp; marketing objectives.<br>
<br>
You will provide the State Management team with regular updates on progress against company targets and ensure all relevant data bases are maintained with the latest information. You will be a motivated, self-starter who strives to offer solutions and input on process improvements to maximise efficiency within the team, field force and across departments. There will also be an element of administrative support required in the day to day activities of the State Office that you will to support with.<br>
</p><p><b>
About You:</b></p><p>
You should ideally possess the following attributes:</p><ul><li>
Advanced working knowledge of Microsoft Excel including defining &amp; creating formula, macros and pivot tables as well as PowerPoint.</li><li>
Strong analytical ability to proactively identify trends, issues and opportunities and translate these into insightful commercial stories and recommendations</li><li>
Ability to effectively plan, organise and prioritise</li><li>
Strong verbal and written communication skills in addition to presentation skills</li><li>
Resilience and initiative, with a ‘can do attitude</li></ul><p></p><br>
<p><b>
The Perks:</b></p><p>
If you are successful, you will receive the following:</p><ul><li>
Competitive remuneration package including bonus</li><li>
Above statutory superannuation</li><li>
Company laptop and smart phone</li><li>
Opportunities for regular Learning and Development training</li></ul><p>
British American Tobacco is all about freedom of choice — whether it’s our people or our products. Combined with our entrepreneurial spirit, it’s what’s driven our phenomenal success. We started trading tobacco over a hundred years ago. Today, we’re a multibillion dollar company with more than 200 brands in our portfolio. With robust positions in each of our regional markets, our future looks equally bright too.</p><p>
There’s no doubt our industry is controversial — we’re the first to admit that. But rest assured, we take a responsible approach to our trade. In our market, we observe every law and regulation regarding tobacco (in many cases going further through our own voluntary code). Not only that, we treat our Global farmers fairly, invest in the environment and help to sustain local communities.<br>
<br>
We also excel at developing our own people into leaders of the future. As a firm with a high-performance culture, we’ll expect a lot from you. But we’ll support you every step of the way to help you deliver. If you’re passionate and ambitious, rapid career progression is a reality here. And because we’re such a large firm (we employ more than 55,000 people worldwide), there are plenty of exciting opportunities for you to develop a truly extraordinary career.</p></div></div>"
Business Analyst,Melbourne City Centre VIC,None,Department of Justice and Community Safety,"About us
,With Victoria's strong population growth and demand for services within the justice portfolio increasing at unprecedented rates, the scale of the infrastructure required to support this demand has never been more significant.
,The Community Safety Building Authority (CSBA) has been established to support the transformation required to create a public service that is more connected, agile and mobile to respond to these challenges.
,The CSBA supports the Department of Justice and Community Safety (DJCS) by planning, designing, procuring and building new infrastructure assets as well as modernising and upgrading existing ones.
,About the role
,As the Business Analyst you will contribute to a significant and high-profile security infrastructure program being led by the CSBA and delivered in collaboration with a range of program partners and stakeholders.
,
,
,
Please note this is a fixed term positon based in Melbourne.
,About you
,
,
,
Qualifications in business analysis, or equivalent experience are essential.
,How to apply
,Please click the Apply button at the bottom of this advertisement. Applications should include a resume and covering letter. Attachments can be uploaded in .doc, .docx, .pdf, .txt or .rtf formats.
, When submitting your application online, there will be questions pertaining to a number of the position's Key Selection Criteria to which you are required to respond."
Senior Data and Intelligence Analyst,Melbourne VIC,None,DXC,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><b>Job Description:</b><br>
<p></p><p> This team is tasked with becoming the leading provider of solutions relating to data within the Microsoft stack, a goal to which we are well on our way to achieving.</p><p></p><p>
You will be tasked with working directly with our customers to understand detailed business requirements surrounding data and translates these into designs and specifications for delivery by our build teams. You will position yourself as a ""data champion"" with our customers, working with them to realise the possibilities that leveraging data with cognitive capabilities can provide.</p><p></p><p>
This role will involve working with customers to design innovative and cutting edge solutions in areas such as reporting, BI, IOT, machine learning and automation. Technical knowledge and experience within this domain is important, as is the ability to get hands on with delivery as required. However, this role is primarily focused on designing solutions and requires strong business acumen and ability to engage on conversations around key metrics and KPIs across areas such as finance, marketing, inventory, retail and manufacturing.</p><p></p><p>
Required skills:</p><ul><li>
Strong experience in data analysis and interpretation, capturing user stories and business process specifications</li><li>
Strong communication skills and interpersonal skills, with the ability to engage and educate key stakeholders</li><li>
Ability to lead business focused workshops to facilitate strategic planning of Data &amp; Intelligence projects</li><li>
Strong business and financial modelling skills</li><li>
Strong business acumen and strategic mindset</li><li>
Actively participate in the production of a business model and BI reporting</li><li>
Drive data &amp; intelligence projects across multiple complex areas such as customer profiling, demand forecasting and predictive analytics.</li><li>
Ability to understand and map complex data from multiple sources</li><li>
Understanding of how to use data to predict trends &amp; deliver business value</li><li>
Ability to assist in the design of financial models and forecasts</li><li>
Seek to continually improve processes and delivery outcomes</li><li>
Strong project leadership capabilities</li><li>
Minimum of 5 year’s professional experience in Data or Intelligence related roles</li><li>
Ability to prioritize and manage a complex and changing set of requirements</li><li>
Provide pre-sales assistance and assist the sales team to ensure clear client expectations for delivery</li><li>
Perform product demonstrations to business and technical audiences</li><li>
Achieve personal utilisation targets</li><li>
Review project documents to ensure they meet quality standards</li></ul><p></p><p>
Beneficial Skills</p><ul><li>
Prior hands-on technical experience in data or intelligence project delivery</li><li>
Masters/bachelors degree in business focused discipline</li><li>
Prior experience with Microsoft Dynamics or AX</li><li>
Microsoft Azure certification</li></ul></div><p></p></div>"
Business Analyst - B2B Project,Australia,None,Chartered Accountants Australia and New Zealand,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><div><div><div><div><div><div><div>Business Analyst - B2B Project
<br>
</div></div><br>
<div><div><b>View Position Description</b><br>
</div></div><br>
<br>
<br>
<p></p><div><div><ul><li>12 Month Contract
</li><li>Work within a SAFe Agile framework
</li><li>Sydney CBD Location</li>
</ul><p><i>We are a professional membership body supporting 120 000+ diverse, talented and financially astute members. We employ over 350 people in 14 locations across Australia, New Zealand, UK and Asia. When you join us, you have an opportunity to develop great skills &amp; strong networks and do something different and fresh with your career.</i>
</p><p><i>“This exciting Project will support our delivery of a tailored and personalised approach to learning based on competency building and career progression. Through provision of a variety of learning experiences and delivery modes to create long term partnership with members and their employers”.</i></p><p>
The Business Analyst – B2B Learning will work closely with Education &amp; Learning business owners on a key initiative to develop an online capability diagnostic tool that connects members to learning solutions relevant to their development needs. The tool will be accessed by two key user groups being individual members (B2C) as well as partner organisations (B2B).</p><p></p><br>
<p><b>
The role responsibility is:</b></p><ul><li>
Identifying and proactively engaging with key stakeholder groups to facilitate documentation of business requirements</li><li>
Documenting high level and detailed functional and non-functional business requirements to form Business Requirement Documentation that inform the technology solution. This includes translating requirements into user stories with detailed supporting analysis, coordinating and prioritising user stories for implementation, and providing test and acceptance criteria for user stories and features</li><li>
Contributing to the identification of potential technology solutions by mapping business requirements and business criteria to proposed technology solutions, identifying gaps and managing gap analysis to ensure solutions are fit for purpose.</li><li>
Contributing to the development of Request for Quotation, managing the administration of RFQ responses and supporting the development of an implementation plan for selected partners.</li><li>
Develop clear, concise and actionable project documents including those that support project briefs, business cases, and business requirements documentation</li></ul><p></p><br>
<p><b>
To be successful in this role, you will have:
</b></p><ul><li>4+ years of experience performing business analysis in a cross-functional business environment</li><li>
2+ years in business process mapping and/or user journey mapping</li><li>
2+ year leading stakeholder workshops and presenting to project and leadership teams</li><li>
Building strong working relationships and developing trust with internal and external partners</li><li>
Developing a business case and business requirements document</li><li>
Ability to document a business process as described by an end User (Promapp or other tools such as Viso) and user story in JIRA</li></ul><p></p><br>
<p><b>
What’s in it for you
</b></p><p>At Chartered Accountants ANZ, we are committed to building a diverse and inclusive workplace reflecting the members we serve. As a value driven organisation, we collaborate for success, through integrity and being accountable for ourselves in the role we play to grow and improve as a team. Our benefits include Scholarship program, flexible workplace and staff benefits.</p><p></p><br>
</div></div><br>
<div><div><div><div><div><div><b>Job Ref: </b></div><div>JN000189
</div></div><br>
<div><div><b>Submitted: </b></div><div>30-04-2019</div></div></div></div></div></div></div></div></div></div></div></div><p></p></div>"
